event_id,year,event_label,geography,metric,baseline_stratum,full_valid_population_denominator,stratum_population,stratum_population_fraction,additive_population_weighted_contribution,full_population_weighted_contribution,stratum_share_of_project_contribution
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Foshan,coverage,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,0.0,0.0,
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Foshan,coverage,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,0.0,
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Foshan,cross_city_opportunity,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,97.73034279468459,97.73034279468462,0.9999999999999997
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Foshan,cross_city_opportunity,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,97.73034279468462,0.0
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Foshan,total_opportunity,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,97.73034279468445,97.73034279468445,1.0
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Foshan,total_opportunity,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,97.73034279468445,0.0
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Guangzhou,coverage,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,0.0,0.0043683285145473295,0.0
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Guangzhou,coverage,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,0.0043683285145473295,0.0043683285145473295,1.0
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Guangzhou,cross_city_opportunity,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,0.038124074383229754,25.060091238179282,0.0015213062881889023
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Guangzhou,cross_city_opportunity,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,25.021967163796052,25.060091238179282,0.9984786937118111
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Guangzhou,total_opportunity,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,2359.5191628260395,4400.778990331052,0.5361594317756327
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,Guangzhou,total_opportunity,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,2041.259827505012,4400.778990331052,0.46384056822436714
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,coverage,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,0.0,0.0005865183199729207,0.0
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,coverage,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,0.0005865183199729207,0.0005865183199729207,1.0
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,cross_city_opportunity,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,cross_city_opportunity,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,0.0,0.0,
